0 0 0 0 0 0 0 0.0009357 0.0131004 0.0003119 0 0.0302558 0.780724 0.157829 0.0006238 0.0028072 0.0028072 0.0053026 0.0003119 0.0028072 0.0021834
0.0002889 0 0 0 0 0 0 0.0014443 0.0112652 0.0002889 0 0.0228192 0.785962 0.159445 0.0011554 0.0008666 0.0043328 0.0072213 0 0.0023108 0.0025997
0.0002733 0 0 0 0 0 0 0.0024597 0.0191309 0 0 0.02651 0.797212 0.139656 0 0.0024597 0.0010932 0.0030063 0.0005466 0.0040995 0.0035529
0 0 0 0 0 0 0 0.0007324 0.0092773 0 0 0.029541 0.78833 0.155518 0.0004883 0.0004883 0.0024414 0.0068359 0 0.0039062 0.0024414
0.0006903 0 0 0 0 0 0.0002301 0.0016107 0.0216291 0.0013806 0 0.0340543 0.791072 0.133686 0.0004602 0.0032214 0.0020709 0.0052922 0.0002301 0.0029913 0.0013806
0 0 0.0002122 0.0002122 0.0002122 0 0 0.0010611 0.0188879 0 0 0.0348048 0.780136 0.141553 0.0016978 0.0078523 0.00191 0.0048812 0.0004244 0.0042445 0.00191
0 0 0 0 0 0.0003874 0.0001937 0.0009684 0.0151075 0.0001937 0.0001937 0.033895 0.78772 0.137711 0.0019369 0.0040674 0.003099 0.0054232 0.0003874 0.0050358 0.00368
0 0 0 0 0 0 0 0.0019745 0.0140011 0.000359 0 0.0328487 0.780829 0.141806 0.001795 0.0062825 0.002872 0.0066415 0.001077 0.005744 0.0037695
0 0 0 0 0 0.0001606 0 0.000803 0.0200739 0.0006424 0.0001606 0.0306729 0.776457 0.143087 0.0022483 0.0052995 0.0041754 0.0059419 0.0006424 0.0054601 0.0041754
0 0 0 0.000149 0.000149 0.000596 0 0.0008941 0.016242 0.0010431 0.000149 0.0362092 0.773953 0.14141 0.0022351 0.0053643 0.0056623 0.0058114 0.000447 0.0040232 0.0056623
0.0004598 0.0002299 0.0011494 0.0006897 0.0004598 0.0195402 0.0003448 0.0026437 0.0155172 0.0122989 0.0205747 0.0009195 0.0026437 0.743908 0.164023 0.0027586 0.0002299 0.0047126 0.002069 0.0009195 0.003908
0.000417 0.000417 0.000417 0.000417 0.0005213 0.0169933 0.0001043 0.0013553 0.0153253 0.0087573 0.0195997 0.0010425 0.0006255 0.759279 0.161489 0.0038574 0.0001043 0.0036489 0.0032319 0.000417 0.0019808
0.0007309 0.0001827 0.0004568 0.0004568 0.0005481 0.0200073 9.14e-05 0.0017358 0.0232048 0.0120592 0.024027 0.0006395 0.0023753 0.728303 0.175772 0.0030148 0 0.002558 0.0018272 0.0001827 0.0018272
0.0004087 8.17e-05 0.0005722 0.0001635 0.0001635 0.0201896 8.17e-05 0.00188 0.0138957 0.0109531 0.0237044 0.001553 0.0021252 0.726091 0.185222 0.0047409 0.000327 0.0020435 0.0030244 0.0001635 0.0026157
0.0001475 0 0.0003688 7.38e-05 0.0005163 0.0229368 7.38e-05 0.0010325 0.0185854 0.0145291 0.0279519 0.0006638 0.000885 0.709566 0.192271 0.0046464 0.0003688 0.0016225 0.00177 7.38e-05 0.0019175
0.0011958 0.0003147 0.0005035 0.0006923 0.0003147 0.020832 0.0002517 0.002958 0.0171188 0.0123985 0.027818 0.0006923 0.001951 0.680345 0.217572 0.0062307 0.0005664 0.0033986 0.0021398 0.0003147 0.0023287
0.0005598 0.0006717 0.0003918 0.0005598 0.0005038 0.0253009 0 0.0014554 0.0223342 0.013546 0.029611 0.0011195 0.0008396 0.676966 0.216121 0.0053736 5.6e-05 0.0012874 0.002295 0.000112 0.0008956
4.82e-05 0 0.0011091 0.0010126 0.0009162 0.0268589 0 0.0005304 0.0253158 0.0152859 0.0330312 0.0011091 0.0005304 0.672003 0.212798 0.0056418 0.0001929 0.0016395 0.0011091 0.0001447 0.0006751
0.0001744 0.000218 0.0003053 0.0005669 0.0005233 0.0266876 4.36e-05 0.0006541 0.0244636 0.0139107 0.032749 0.0011774 0.0001308 0.668455 0.221394 0.0054945 8.72e-05 0.0007413 0.001439 0.0001308 0.0006541
0.0001153 0.0001153 0.0002305 0.0006531 0.0004994 0.0204764 0 0.0002305 0.0154437 0.0108337 0.0306569 0.0012294 0.000922 0.667768 0.241567 0.005801 0.0001153 0.0012294 0.001383 7.68e-05 0.0006531
0.005218 0.0011182 0.0011182 0 0.0003727 0.0022363 0.0007454 0.0067089 0.0029817 0.0007454 0.0007454 0 0.204622 0.585539 0.0063362 0.0122997 0.0972792 0.0242266 0.0040999 0.0260902 0.017145
0.0003323 0.0006647 0.0016617 0.0006647 0.0006647 0.004985 0 0.0043204 0.0099701 0.0003323 0.0033234 0.0003323 0.194417 0.600864 0.0076437 0.0099701 0.0920572 0.0202725 0.0066467 0.0222665 0.0182785
0.0015793 0.0018951 0.0003159 0.0003159 0 0.0003159 0.0003159 0.002211 0.0009476 0 0.0003159 0.0012634 0.193936 0.59602 0.0056854 0.0085281 0.0941251 0.0312697 0.0037903 0.0255843 0.0312697
0.0018411 0.0012274 0.0012274 0 0 0.0006137 0.0009205 0.0079779 0.0015342 0 0.0009205 0.0018411 0.194538 0.594047 0.0085916 0.0122737 0.099417 0.0260816 0.0042958 0.0181037 0.0242406
0.0031153 0.0011328 0.0008496 0 0.0002832 0.001416 0.0019824 0.0031153 0.0016992 0.0011328 0.0019824 0.0011328 0.188898 0.601812 0.0065137 0.0079298 0.0923251 0.0359671 0.0053809 0.017842 0.0252053
0.0056285 0.0003127 0.0003127 0.0006254 0 0.0021889 0.0028143 0.0128205 0.0021889 0.0009381 0.0021889 0.003127 0.214822 0.538462 0.0096936 0.0222014 0.0994371 0.0284553 0.0056285 0.0250156 0.0231395
0.0027234 0.0004952 0.0002476 0 0 0.0027234 0.0027234 0.004209 0.0022283 0.0007428 0.0009903 0.0037138 0.198564 0.598911 0.0076752 0.0158455 0.0794751 0.0299579 0.0059421 0.0217876 0.0205496
0 0.0013383 0.002409 0.0005353 0 0.001606 0 0.0002677 0.0029443 0.000803 0.0005353 0 0.214936 0.616435 0.006424 0.0147216 0.0912741 0.0149893 0.0034797 0.0163276 0.0109743
0.0007064 0.0007064 0.0009418 0 0 0.0014128 0.0002355 0.0023546 0.0021191 0 0.0014128 0.0007064 0.213327 0.61879 0.0051801 0.0162468 0.0835884 0.0197787 0.0040028 0.0160113 0.0122439
0.005487 0.0013717 0.0003919 0.000196 0 0.0019596 0.000196 0.0072506 0.0019596 0.0007839 0.0005879 0.0007839 0.202626 0.601803 0.0035273 0.0072506 0.0985695 0.0166569 0.005095 0.0205761 0.0227317
0 0 0 0 0 0.0003775 0.0003775 0.0279351 0.0528501 0.0381276 0.0562476 0 0.128728 0.661004 0.0332201 0 0.0003775 0 0 0 0.000755
0 0 0 0 0 0.0017053 0 0.026603 0.0364939 0.0368349 0.0576398 0 0.120737 0.679741 0.0259209 0 0.0013643 0.0064802 0 0.0027285 0.0034106
0 0 0 0 0 0.0016239 0.0009743 0.0331276 0.0516401 0.0331276 0.0597597 0.0003248 0.0928873 0.689834 0.0347515 0.0006496 0.0006496 0 0.0003248 0.0003248 0
0 0 0 0 0 0.0020161 0.000288 0.0489631 0.0434908 0.0374424 0.0601959 0 0.0973502 0.672523 0.0253456 0.000576 0.0014401 0.0048963 0 0.0011521 0.0043203
